id_parlamentar,id_parlamentar_parlametria,partido_disciplina,partido_atual,casa,mes,ano,votos_validos,num_seguiu,disciplina,bancada_suficiente
739,2739,PP,PP,senado,12,2019,1,1,NA,TRUE
739,2739,PP,PP,senado,12,2020,1,1,NA,TRUE
742,2742,MDB,MDB,senado,2,2021,1,1,NA,TRUE
742,2742,MDB,MDB,senado,3,2021,12,11,0.9166666666666666,TRUE
742,2742,MDB,MDB,senado,4,2019,2,2,NA,TRUE
742,2742,MDB,MDB,senado,4,2020,7,7,NA,TRUE
742,2742,MDB,MDB,senado,4,2021,3,2,NA,TRUE
742,2742,MDB,MDB,senado,5,2020,5,5,NA,TRUE
742,2742,MDB,MDB,senado,5,2021,3,1,NA,TRUE
742,2742,MDB,MDB,senado,6,2019,4,4,NA,TRUE
742,2742,MDB,MDB,senado,6,2020,10,8,0.8,TRUE
742,2742,MDB,MDB,senado,6,2021,13,12,0.9230769230769231,TRUE
742,2742,MDB,MDB,senado,7,2020,4,4,NA,TRUE
742,2742,MDB,MDB,senado,7,2021,2,2,NA,TRUE
742,2742,MDB,MDB,senado,8,2019,1,1,NA,TRUE
742,2742,MDB,MDB,senado,8,2020,4,4,NA,TRUE
742,2742,MDB,MDB,senado,8,2021,2,1,NA,TRUE
742,2742,MDB,MDB,senado,9,2019,0,0,NA,TRUE
742,2742,MDB,MDB,senado,9,2020,6,6,NA,TRUE
742,2742,MDB,MDB,senado,10,2019,8,8,NA,TRUE
742,2742,MDB,MDB,senado,11,2019,4,4,NA,TRUE
742,2742,MDB,MDB,senado,11,2020,5,5,NA,TRUE
742,2742,MDB,MDB,senado,12,2019,1,1,NA,TRUE
742,2742,MDB,MDB,senado,12,2020,1,0,NA,TRUE
751,2751,PSD,PSD,senado,4,2019,2,2,NA,TRUE
751,2751,PSD,PSD,senado,4,2020,7,6,NA,TRUE
751,2751,PSD,PSD,senado,5,2020,4,3,NA,TRUE
751,2751,PSD,PSD,senado,6,2019,3,2,NA,TRUE
751,2751,PSD,PSD,senado,6,2020,10,6,0.6,TRUE
751,2751,PSD,PSD,senado,7,2020,4,4,NA,TRUE
751,2751,PSD,PSD,senado,8,2019,1,0,NA,TRUE
751,2751,PSD,PSD,senado,8,2020,4,2,NA,TRUE
751,2751,PSD,PSD,senado,9,2019,1,0,NA,TRUE
751,2751,PSD,PSD,senado,9,2020,5,5,NA,TRUE
751,2751,PSD,PSD,senado,10,2019,8,8,NA,TRUE
751,2751,PSD,PSD,senado,11,2019,4,4,NA,TRUE
751,2751,PSD,PSD,senado,12,2019,1,1,NA,TRUE
825,2825,PT,PT,senado,2,2021,1,1,NA,TRUE
825,2825,PT,PT,senado,3,2021,12,12,1,TRUE
825,2825,PT,PT,senado,4,2019,1,1,NA,TRUE
825,2825,PT,PT,senado,4,2020,7,7,NA,TRUE
825,2825,PT,PT,senado,4,2021,3,2,NA,TRUE
825,2825,PT,PT,senado,5,2020,5,5,NA,TRUE
825,2825,PT,PT,senado,5,2021,5,5,NA,TRUE
825,2825,PT,PT,senado,6,2019,3,3,NA,TRUE
825,2825,PT,PT,senado,6,2020,12,12,1,TRUE
825,2825,PT,PT,senado,6,2021,13,12,0.9230769230769231,TRUE
825,2825,PT,PT,senado,7,2020,4,4,NA,TRUE
825,2825,PT,PT,senado,7,2021,2,2,NA,TRUE
825,2825,PT,PT,senado,8,2019,1,0,NA,TRUE
825,2825,PT,PT,senado,8,2020,4,4,NA,TRUE
825,2825,PT,PT,senado,8,2021,3,3,NA,TRUE
825,2825,PT,PT,senado,9,2019,0,0,NA,TRUE
825,2825,PT,PT,senado,9,2020,6,6,NA,TRUE
825,2825,PT,PT,senado,10,2019,8,8,NA,TRUE
825,2825,PT,PT,senado,11,2019,4,4,NA,TRUE
825,2825,PT,PT,senado,11,2020,5,5,NA,TRUE
825,2825,PT,PT,senado,12,2019,0,0,NA,TRUE
825,2825,PT,PT,senado,12,2020,2,2,NA,TRUE
878,2878,PSDB,PSDB,senado,8,2021,1,1,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,2,2021,1,1,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,3,2021,11,9,0.8181818181818182,TRUE
945,2945,PODEMOS,PODEMOS,senado,4,2019,2,1,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,4,2020,7,4,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,4,2021,3,2,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,5,2020,4,1,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,5,2021,3,2,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,6,2019,4,4,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,6,2020,12,11,0.9166666666666666,TRUE
945,2945,PODEMOS,PODEMOS,senado,6,2021,10,9,0.9,TRUE
945,2945,PODEMOS,PODEMOS,senado,7,2020,2,1,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,7,2021,2,2,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,8,2019,1,1,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,8,2020,4,3,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,8,2021,3,3,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,9,2019,0,0,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,9,2020,6,5,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,10,2019,8,6,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,11,2019,3,3,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,11,2020,5,5,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,12,2019,1,1,NA,TRUE
945,2945,PODEMOS,PODEMOS,senado,12,2020,1,0,NA,TRUE
1023,21023,DEM,DEM,senado,2,2021,1,1,NA,TRUE
1023,21023,DEM,DEM,senado,3,2021,5,5,NA,TRUE
1023,21023,DEM,DEM,senado,4,2019,0,0,NA,TRUE
1023,21023,DEM,DEM,senado,4,2020,7,7,NA,TRUE
1023,21023,DEM,DEM,senado,4,2021,2,2,NA,TRUE
1023,21023,DEM,DEM,senado,5,2020,5,5,NA,TRUE
1023,21023,DEM,DEM,senado,5,2021,4,4,NA,TRUE
1023,21023,DEM,DEM,senado,6,2019,0,0,NA,TRUE
1023,21023,DEM,DEM,senado,6,2020,11,11,1,TRUE
1023,21023,DEM,DEM,senado,6,2021,5,5,NA,TRUE
1023,21023,DEM,DEM,senado,7,2020,4,4,NA,TRUE
1023,21023,DEM,DEM,senado,7,2021,2,2,NA,TRUE
1023,21023,DEM,DEM,senado,8,2019,1,1,NA,TRUE
1023,21023,DEM,DEM,senado,8,2020,4,4,NA,TRUE
1023,21023,DEM,DEM,senado,8,2021,2,2,NA,TRUE
1023,21023,DEM,DEM,senado,9,2019,0,0,NA,TRUE
1023,21023,DEM,DEM,senado,9,2020,6,5,NA,TRUE
1023,21023,DEM,DEM,senado,10,2019,4,4,NA,TRUE
1023,21023,DEM,DEM,senado,11,2019,2,2,NA,TRUE
1023,21023,DEM,DEM,senado,11,2020,0,0,NA,TRUE
1023,21023,DEM,DEM,senado,12,2019,1,1,NA,TRUE
1023,21023,DEM,DEM,senado,12,2020,1,1,NA,TRUE
1173,21173,PL,PL,senado,2,2021,1,1,NA,TRUE
1173,21173,PL,PL,senado,3,2021,11,11,1,TRUE
1173,21173,PL,PL,senado,4,2019,2,2,NA,TRUE
1173,21173,PL,PL,senado,4,2020,7,7,NA,TRUE
1173,21173,PL,PL,senado,4,2021,3,2,NA,TRUE
1173,21173,PL,PL,senado,5,2020,3,3,NA,TRUE
1173,21173,PL,PL,senado,5,2021,5,4,NA,TRUE
1173,21173,PL,PL,senado,6,2019,2,2,NA,TRUE
1173,21173,PL,PL,senado,6,2020,6,6,NA,TRUE
1173,21173,PL,PL,senado,6,2021,12,9,0.75,TRUE
1173,21173,PL,PL,senado,7,2020,3,3,NA,TRUE
