id_proposicao_leggo,num_tweets,interactions,created_at,username,interesse,sigla_camara,sigla_senado
1ae708c5fbb1605c0282b043b45ccbec,1,30,2020-02-06,jnascim,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,7,2020-02-06,luiziannelinspt,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,10,2020-02-07,partidoverde,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,28,2020-02-07,verapstu,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,201,2020-02-11,greenpeacebr,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,2,172,2020-02-11,midianinja,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,2,2020-02-11,niltotatto,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,27,2020-02-12,alice_portugal,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,3,2020-02-12,aureacarolinax,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,25,2020-02-12,camaradeputados,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,2,27,2020-02-12,edmilsonpsol,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,16,2020-02-12,faleiroairton,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,4,1612,2020-02-12,midianinja,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,2,11,2020-02-12,niltotatto,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,2,295,2020-02-12,obsclima,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,45,2020-02-15,nexojornal,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,18,2020-02-18,camilopsb,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,2,68,2020-02-18,faleiroairton,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,3,371,2020-02-18,midianinja,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,237,2020-02-19,marinasilva,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,23,2020-02-19,zericardoam,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,11,2020-03-09,depnicoletti,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,290,2020-03-11,midianinja,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,728,2020-04-19,andretrig,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,15,2020-04-19,isapennapsol,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,318,2020-04-19,marcelofreixo,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,115,2020-04-19,marcelolins68,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,11,2020-04-19,niltotatto,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,64,2020-04-19,obsclima,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,215,2020-04-27,guilhermeboulos,socioambiental,PL 191/2020,NA
