Relacionada com Meio Ambiente ou Clima?,Pos/Neg/Neutro para o ambientalismo,proposicao,sigla_tipo,numero,ano,ementa,id,casa,tema,autor,link
,Não relacionado ao meio ambiente ou clima.,PDL 238/2019,PDL,238,2019,"Susta o Decreto nº 9.785, de 07 de Maio de 2019, que regulamenta a Lei nº 10.826, de 22 de dezembro de 2003, para dispor sobre a aquisição, o cadastro, o registro, a posse, o porte e a comercialização de armas de fogo e de munição e sobre o Sistema Nacional de Armas e o Sistema Nacional de Gerenciamento Militar de Armas.",136653,senado,Nao especificado,Randolfe Rodrigues REDE / AP e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/136653
Sim,Neutro,PLP 240/2019,PLP,240,2019,"Modifica a Lei Complementar nº 140, de 8 de dezembro de 2011, que fixa normas, nos termos dos incisos III, VI e VII do caput e do parágrafo único do art. 23 da Constituição Federal, para a cooperação entre a União, os Estados, o Distrito Federal e os Municípios nas ações administrativas decorrentes do exercício da competência comum relativas à proteção das paisagens naturais notáveis, à proteção do meio ambiente, ao combate à poluição em qualquer de suas formas e à preservação das florestas, da fauna e da flora, para tornar ação administrativa da União o licenciamento ambiental de empreendimentos com barragem de mineração ou barragem de resíduos industriais cujo rompimento possa poluir lagos e rios de domínio da União.",139622,senado,Meio ambiente,Carlos Viana PSD / MG,https://www25.senado.leg.br/web/atividade/materias/-/materia/139622
,Não relacionado ao meio ambiente ou clima.,PDL 286/2019,PDL,286,2019,"Susta os Decretos nºs 9.785, de 07 de maio de 2019, e 9.797, de 21 de maio de 2019, que regulamentam a Lei nº 10.826, de 22 de dezembro de 2003, para dispor sobre a aquisição, o cadastro, o registro, a posse, o porte e a comercialização de armas de fogo e de munição e sobre o Sistema Nacional de Armas e o Sistema Nacional de Gerenciamento Militar de Armas.",136907,senado,Nao especificado,Randolfe Rodrigues REDE / AP e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/136907
Sim,Positivo,PL 358/2020,PL,358,2020,"Institui o Selo Nacional de Sustentabilidade Empresarial, conferido a empresas que contribuam para a redução dos impactos ao meio ambiente, e altera a Lei nº 8.666, de 21 de junho de 1993, que institui normas para licitações e contratos da Administração Pública e dá outras providências, para dar preferência, como critério de desempate nas licitações, às empresas detentoras do Selo.",140744,senado,Meio ambiente,Styvenson Valentim PODEMOS / RN,https://www25.senado.leg.br/web/atividade/materias/-/materia/140744
Sim,positivo,PL 415/2020,PL,415,2020,Institui o Fundo Amazônia e dá outras providências.,140818,senado,Meio ambiente,Jorge Kajuru CIDADANIA / GO,https://www25.senado.leg.br/web/atividade/materias/-/materia/140818
Sim,Positivo,PDL 418/2020,PDL,418,2020,"Susta a Resolução do CONAMA – Conselho Nacional do Meio Ambiente, que revoga as Resoluções CONAMA 284/2001, 302/2002 e 303/2002.",144966,senado,Nao especificado,Jaques Wagner PT / BA e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/144966
Sim,Positivo,PDL 452/2020,PDL,452,2020,"Susta, nos termos do inciso V do art. 49 da Constituição Federal, os efeitos da Resolução nº 499, de 6 de outubro, e da Resolução nº 500, de 21 de outubro, ambas de 2020, do Conselho Nacional do Meio Ambiente – CONAMA.",145213,senado,Nao especificado,Fabiano Contarato REDE / ES e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/145213
,Não relacionada ao meio ambiente ou clima.,PL 486/2020,PL,486,2020,"Altera a Lei nº 11.326, de 24 de julho de 2006, para incluir a redução das desigualdades sociais e regionais entre os princípios a serem observados pela Política Nacional de Agricultura Familiar e Empreendimentos Familiares Rurais e determina ao Poder Público tratamento especial quanto a linhas de crédito rural e serviços de assistência técnica e extensão rural destinados a agricultores e empreendimentos familiares rurais situados na Região do Marajó.",140937,senado,"Agricultura, pecuária e abastecimento",Zequinha Marinho PSC / PA,https://www25.senado.leg.br/web/atividade/materias/-/materia/140937
Sim,Positivo,PDL 525/2020,PDL,525,2020,"Susta, nos termos do inciso V do art. 49 da Constituição Federal, os efeitos da Portaria Conjunta nº 1, de 2 de dezembro de 2020, do Ministério da Agricultura, Pecuária e Abastecimento.",145734,senado,Nao especificado,Fabiano Contarato REDE / ES,https://www25.senado.leg.br/web/atividade/materias/-/materia/145734
Sim,Negativo: pecariza a preservação de vegetação nativa ao instituir a redução automática diante da não manifestação em 60 dias do poder público.,PL 551/2019,PL,551,2019,"Altera a Lei nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa e dá outras providências, para redefinir critérios para redução da área de Reserva Legal em imóveis rurais da Amazônia Legal.",135117,senado,Meio ambiente,Mecias de Jesus REPUBLICANOS / RR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135117
