id_leggo,interesse,periodo,temperatura_recente
91b7b11ec7327d9036ead1b63bd4dd3c,socioambiental,2021-05-24,0.09
91b7b11ec7327d9036ead1b63bd4dd3c,socioambiental,2021-05-17,0.12
91b7b11ec7327d9036ead1b63bd4dd3c,socioambiental,2021-05-10,0.15
91b7b11ec7327d9036ead1b63bd4dd3c,socioambiental,2021-05-03,0.21
91b7b11ec7327d9036ead1b63bd4dd3c,socioambiental,2021-04-26,0.27
91b7b11ec7327d9036ead1b63bd4dd3c,socioambiental,2021-04-19,0.37
c425878fd4746e30b25cd212f97ecd23,socioambiental,2021-07-12,0
c425878fd4746e30b25cd212f97ecd23,socioambiental,2021-07-05,0
c425878fd4746e30b25cd212f97ecd23,socioambiental,2021-06-28,0
c425878fd4746e30b25cd212f97ecd23,socioambiental,2021-06-21,0
c425878fd4746e30b25cd212f97ecd23,socioambiental,2021-06-14,0
c425878fd4746e30b25cd212f97ecd23,socioambiental,2021-06-07,0
c425878fd4746e30b25cd212f97ecd23,socioambiental,2021-05-31,0
c425878fd4746e30b25cd212f97ecd23,socioambiental,2021-05-24,0
c425878fd4746e30b25cd212f97ecd23,socioambiental,2021-05-17,0
c425878fd4746e30b25cd212f97ecd23,socioambiental,2021-05-10,0
c425878fd4746e30b25cd212f97ecd23,socioambiental,2021-05-03,0
c425878fd4746e30b25cd212f97ecd23,socioambiental,2021-04-26,0
c425878fd4746e30b25cd212f97ecd23,socioambiental,2021-04-19,0
352f834ffe622cbeac0d64b30e4ab96b,socioambiental,2021-07-12,0
352f834ffe622cbeac0d64b30e4ab96b,socioambiental,2021-07-05,0
352f834ffe622cbeac0d64b30e4ab96b,socioambiental,2021-06-28,0
352f834ffe622cbeac0d64b30e4ab96b,socioambiental,2021-06-21,0
352f834ffe622cbeac0d64b30e4ab96b,socioambiental,2021-06-14,0
352f834ffe622cbeac0d64b30e4ab96b,socioambiental,2021-06-07,0
352f834ffe622cbeac0d64b30e4ab96b,socioambiental,2021-05-31,0
352f834ffe622cbeac0d64b30e4ab96b,socioambiental,2021-05-24,0
352f834ffe622cbeac0d64b30e4ab96b,socioambiental,2021-05-17,0
352f834ffe622cbeac0d64b30e4ab96b,socioambiental,2021-05-10,0
352f834ffe622cbeac0d64b30e4ab96b,socioambiental,2021-05-03,0
352f834ffe622cbeac0d64b30e4ab96b,socioambiental,2021-04-26,0
352f834ffe622cbeac0d64b30e4ab96b,socioambiental,2021-04-19,0
f1840c851886c762148d7f38a928e7fe,socioambiental,2021-07-12,0
f1840c851886c762148d7f38a928e7fe,socioambiental,2021-07-05,0
f1840c851886c762148d7f38a928e7fe,socioambiental,2021-06-28,0
f1840c851886c762148d7f38a928e7fe,socioambiental,2021-06-21,0
f1840c851886c762148d7f38a928e7fe,socioambiental,2021-06-14,0
f1840c851886c762148d7f38a928e7fe,socioambiental,2021-06-07,0
f1840c851886c762148d7f38a928e7fe,socioambiental,2021-05-31,0
f1840c851886c762148d7f38a928e7fe,socioambiental,2021-05-24,0
f1840c851886c762148d7f38a928e7fe,socioambiental,2021-05-17,0
f1840c851886c762148d7f38a928e7fe,socioambiental,2021-05-10,0
f1840c851886c762148d7f38a928e7fe,socioambiental,2021-05-03,0
f1840c851886c762148d7f38a928e7fe,socioambiental,2021-04-26,0
f1840c851886c762148d7f38a928e7fe,socioambiental,2021-04-19,0
d3faf1ea59d488a45750195ba53bd816,socioambiental,2021-07-12,0.02
d3faf1ea59d488a45750195ba53bd816,socioambiental,2021-07-05,0.02
d3faf1ea59d488a45750195ba53bd816,socioambiental,2021-06-28,0.03
d3faf1ea59d488a45750195ba53bd816,socioambiental,2021-06-21,0.04
d3faf1ea59d488a45750195ba53bd816,socioambiental,2021-06-14,0.06
d3faf1ea59d488a45750195ba53bd816,socioambiental,2021-06-07,0.08
d3faf1ea59d488a45750195ba53bd816,socioambiental,2021-05-31,0.1
d3faf1ea59d488a45750195ba53bd816,socioambiental,2021-05-24,0.13
