id_votacao,orientacao,tipo_lideranca,partido_bloco,casa
1672576-133,-1,B,GOV.,camara
1672576-133,-1,B,PslPpPsd...,camara
1672576-133,5,P,PSB,camara
1672576-133,-1,P,NOVO,camara
1672576-133,2,P,PSOL,camara
1672576-133,5,B,PdtSdPode...,camara
1672576-133,2,P,Patriota,camara
1672576-133,1,B,Oposição,camara
1672576-133,1,B,Minoria,camara
1672576-133,2,P,PT,camara
1672576-128,-1,B,GOV.,camara
1672576-128,-1,P,NOVO,camara
1672576-128,-1,P,PRB,camara
1672576-128,2,P,PT,camara
1672576-128,-1,B,PslPpPsd...,camara
1672576-128,-1,P,PPS,camara
1672576-128,2,P,PSOL,camara
1672576-128,5,B,Minoria,camara
1672576-128,5,B,PdtSdPode...,camara
1672576-128,5,P,PSB,camara
1672576-124,-1,P,NOVO,camara
1672576-124,-1,P,PPS,camara
1672576-124,-1,B,GOV.,camara
1672576-124,5,B,Oposição,camara
1672576-124,2,P,PSOL,camara
1672576-124,-1,B,PslPpPsd...,camara
1672576-124,5,B,PdtSdPode...,camara
1672576-124,2,P,PT,camara
1672576-124,-1,P,PRB,camara
1672576-124,5,P,PSB,camara
1672576-120,-1,P,PRB,camara
1672576-120,-1,P,NOVO,camara
1672576-120,5,P,PSB,camara
1672576-120,5,B,PdtSdPode...,camara
1672576-120,-1,B,PslPpPsd...,camara
1672576-120,2,P,PSOL,camara
1672576-120,2,P,PT,camara
1672576-120,-1,P,Patriota,camara
1672576-120,-1,P,PPS,camara
1672576-109,1,B,PslPpPsd...,camara
1672576-109,-1,B,Minoria,camara
1672576-109,1,P,NOVO,camara
1672576-109,5,B,PdtSdPode...,camara
1672576-109,2,P,PT,camara
1672576-109,1,P,PPS,camara
1672576-109,1,P,Patriota,camara
1672576-109,2,P,PSOL,camara
1672576-109,1,B,GOV.,camara
1672576-109,-1,P,PRB,camara
1672576-109,5,P,PSB,camara
1672576-101,-1,P,Patriota,camara
1672576-101,-1,P,NOVO,camara
1672576-101,-1,P,PRB,camara
1672576-101,-1,P,PPS,camara
1672576-101,-1,B,PslPpPsd...,camara
1672576-101,5,P,PSB,camara
1672576-101,5,B,Minoria,camara
1672576-101,2,P,PSOL,camara
1672576-101,2,P,PT,camara
